filename,yaw,pitch,roll,focal_length,fx,fy,cx,cy,exposure,iso,aperture
frame_0_y351.3_p84.8_r-24.5_t1778644426899.jpg,351.3468,84.8186,-25.7328,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_1_y9.9_p35.4_r-6.7_t1778644436628.jpg,9.8986,35.3668,-6.0774,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_2_y14.5_p1.0_r-0.7_t1778644442061.jpg,14.4625,0.9572,-0.9559,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_3_y12.9_p-26.5_r-0.2_t1778644445461.jpg,12.9193,-26.5427,2.1892,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_4_y36.4_p-34.6_r-4.4_t1778644449944.jpg,36.3878,-34.5530,-5.2499,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_5_y38.1_p-0.7_r-0.7_t1778644454127.jpg,38.1161,-0.7375,-1.2207,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_6_y36.6_p35.3_r-0.7_t1778644457944.jpg,36.5874,35.2742,-1.7867,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_7_y62.0_p33.1_r-0.5_t1778644461559.jpg,62.0390,33.1370,-1.7380,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_8_y66.6_p-0.1_r-4.0_t1778644465493.jpg,66.5838,-0.1308,-3.9013,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_9_y66.3_p-35.5_r-4.4_t1778644470237.jpg,66.2669,-35.5400,-3.4653,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_10_y92.2_p-35.9_r-0.7_t1778644475473.jpg,92.2126,-35.9299,-1.3917,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_11_y96.6_p-14.2_r-1.4_t1778644479253.jpg,96.5636,-14.1921,-0.0441,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_12_y87.0_p34.5_r-3.3_t1778644485153.jpg,87.0465,34.5429,-1.9160,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_13_y114.0_p34.7_r-2.1_t1778644488886.jpg,114.0030,34.6551,-1.7360,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_14_y115.0_p-1.0_r-1.1_t1778644493471.jpg,115.0025,-1.0028,-1.8184,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_15_y116.0_p-35.7_r-2.8_t1778644497370.jpg,115.9758,-35.7449,-2.0291,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_16_y145.9_p-34.1_r-2.8_t1778644501669.jpg,145.8893,-34.1340,-2.9383,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_17_y142.3_p-0.7_r0.2_t1778644505985.jpg,142.2793,-0.7372,-0.6209,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_18_y139.5_p34.7_r-1.1_t1778644511252.jpg,139.5060,34.6933,-1.5741,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_19_y168.0_p34.8_r-1.5_t1778644514685.jpg,168.0133,34.8076,-1.4302,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_20_y169.6_p0.1_r-1.9_t1778644518517.jpg,169.5528,0.0797,-0.2784,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_21_y169.4_p-35.0_r-2.3_t1778644523119.jpg,169.3903,-34.9671,-1.5007,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_22_y190.4_p-34.6_r-2.7_t1778644527151.jpg,190.4288,-34.6174,-3.1188,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_23_y192.9_p-0.7_r-1.1_t1778644530888.jpg,192.8848,-0.6779,-1.2955,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_24_y192.1_p35.3_r-3.7_t1778644535168.jpg,192.1190,35.2740,-5.1377,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_25_y214.4_p35.9_r3.5_t1778644538954.jpg,214.3630,35.8675,4.1926,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_26_y219.2_p-1.0_r-1.3_t1778644542668.jpg,219.2115,-0.9677,-1.0509,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_27_y218.2_p-34.4_r0.0_t1778644545784.jpg,218.2332,-34.3785,0.3499,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_28_y244.3_p-34.5_r1.7_t1778644551167.jpg,244.3050,-34.5481,1.5444,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_29_y243.4_p0.4_r0.6_t1778644556016.jpg,243.3892,0.4273,0.1237,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_30_y246.6_p34.5_r2.4_t1778644560167.jpg,246.5509,34.4727,2.8163,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_31_y270.0_p35.3_r1.8_t1778644564001.jpg,270.0139,35.2909,0.7518,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_32_y271.9_p-2.1_r-3.0_t1778644567250.jpg,271.8739,-2.1001,-1.3056,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_33_y271.5_p-36.3_r-1.6_t1778644570683.jpg,271.5222,-36.2508,-1.4216,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_34_y298.9_p-35.3_r-2.5_t1778644574466.jpg,298.9050,-35.2795,-1.0589,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_35_y295.2_p0.9_r-0.3_t1778644578999.jpg,295.1965,0.9173,-0.4456,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_36_y296.5_p35.1_r-2.1_t1778644583066.jpg,296.5129,35.0867,-2.1921,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_37_y322.3_p36.2_r-0.7_t1778644585899.jpg,322.3034,36.1705,-1.9033,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_38_y322.8_p-0.1_r-1.1_t1778644590116.jpg,322.7989,-0.1177,-1.5927,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_39_y322.0_p-34.3_r-0.2_t1778644593699.jpg,321.9519,-34.2575,-0.5441,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_40_y347.5_p-34.9_r-2.1_t1778644597532.jpg,347.4751,-34.8875,-2.7793,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_41_y345.3_p0.5_r-1.3_t1778644601549.jpg,345.2644,0.4791,-1.8851,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_42_y345.6_p35.1_r-2.0_t1778644606182.jpg,345.5956,35.0573,-2.4835,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
frame_43_y156.7_p-86.4_r173.3_t1778644613138.jpg,156.7112,-86.4338,160.7863,4.23,3020.71,3020.71,1512.00,2016.00,0.000000,0,0.00
