filename,cluster_id,yaw,pitch,roll,focal_length,fx,fy,cx,cy,exposure,iso,aperture
0.jpg,0,8.7436,2.9377,2.8202,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
1.jpg,0,26.3669,33.3786,10.2296,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
2.jpg,0,26.5067,-28.9742,1.9714,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
3.jpg,1,46.5442,1.1012,1.0853,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
4.jpg,1,65.1490,35.2184,3.0793,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
5.jpg,1,75.9778,-34.0139,0.4313,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
6.jpg,2,82.6652,-4.4373,0.2008,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
7.jpg,2,101.4662,34.2917,1.9358,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
8.jpg,2,102.7197,-36.6799,-0.8798,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
9.jpg,3,109.2235,0.2312,0.5878,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
10.jpg,3,133.0304,32.3714,9.1850,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
11.jpg,3,134.6966,-36.5643,-1.3798,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
12.jpg,4,140.5346,-1.5120,0.2207,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
13.jpg,4,165.8765,27.9985,5.0250,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
14.jpg,4,174.4716,-37.2150,-2.4210,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
15.jpg,5,177.1219,-1.1023,0.3975,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
16.jpg,5,198.5192,31.5936,6.0396,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
17.jpg,5,200.8101,-41.4685,-2.0838,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
18.jpg,6,201.2193,-3.8582,0.7636,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
19.jpg,6,233.2035,28.0166,6.0728,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
20.jpg,6,247.4453,-41.5233,-1.3260,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
21.jpg,7,251.9675,-3.3351,1.3814,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
22.jpg,7,276.4544,34.3445,4.8019,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
23.jpg,7,277.5877,-37.2170,0.6971,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
24.jpg,8,283.0341,-7.6599,0.7980,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
25.jpg,8,305.4539,28.8784,2.3163,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
26.jpg,8,312.7477,-37.9084,-2.8664,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
27.jpg,9,310.5811,0.8481,0.6121,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
28.jpg,9,351.7898,48.7762,9.6330,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
29.jpg,9,346.3629,-34.1693,-3.0480,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
30.jpg,10,354.6569,0.1429,-0.7300,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
31.jpg,100,309.7724,82.8433,-63.9095,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
32.jpg,200,71.0345,-84.9746,-52.5815,4.27,3317.76,3392.84,1536.00,2040.00,0.000000,0,0.00
